"tabela","categoria","idade_cat","sexo","region_cadunico","med_altura","med_peso","med_imc","n_dist"
"regiao","sul","6a","Masculino","Urbana",0.02,0.36,0.48,84336
"regiao","centro_oeste","7a","Feminino","Rural",0.05,0.21,0.21,5235
"regiao","centro_oeste","7a","Feminino","Urbana",0.21,0.3,0.21,29926
"regiao","nordeste","7a","Feminino","Rural",-0.02,0.05,0.05,111111
"regiao","nordeste","7a","Feminino","Urbana",0.06,0.19,0.17,161787
"regiao","norte","7a","Feminino","Rural",-0.53,-0.35,-0.09,30005
"regiao","norte","7a","Feminino","Urbana",-0.28,-0.12,0.02,57358
"regiao","sudeste","7a","Feminino","Rural",0.14,0.21,0.13,26267
"regiao","sudeste","7a","Feminino","Urbana",0.21,0.38,0.32,123032
"regiao","sul","7a","Feminino","Rural",0.09,0.32,0.34,13712
"regiao","sul","7a","Feminino","Urbana",0.14,0.41,0.42,44911
"regiao","centro_oeste","7a","Masculino","Rural",0.04,0.22,0.25,3322
"regiao","centro_oeste","7a","Masculino","Urbana",0.14,0.25,0.2,19208
"regiao","nordeste","7a","Masculino","Rural",-0.14,-0.03,0.04,72606
"regiao","nordeste","7a","Masculino","Urbana",-0.03,0.14,0.19,98127
"regiao","norte","7a","Masculino","Rural",-0.65,-0.43,-0.04,17843
"regiao","norte","7a","Masculino","Urbana",-0.37,-0.17,0.07,31828
"regiao","sudeste","7a","Masculino","Rural",0.08,0.18,0.16,19850
"regiao","sudeste","7a","Masculino","Urbana",0.14,0.33,0.33,82476
"regiao","sul","7a","Masculino","Rural",0.01,0.32,0.43,11705
"regiao","sul","7a","Masculino","Urbana",0.08,0.4,0.48,35043
"regiao","centro_oeste","8a","Feminino","Rural",0.06,0.25,0.27,4106
"regiao","centro_oeste","8a","Feminino","Urbana",0.22,0.36,0.28,21722
"regiao","nordeste","8a","Feminino","Rural",-0.03,0.09,0.11,83065
"regiao","nordeste","8a","Feminino","Urbana",0.06,0.23,0.23,106036
"regiao","norte","8a","Feminino","Rural",-0.53,-0.33,-0.06,23237
"regiao","norte","8a","Feminino","Urbana",-0.24,-0.07,0.06,41896
"regiao","sudeste","8a","Feminino","Rural",0.13,0.24,0.2,19674
"regiao","sudeste","8a","Feminino","Urbana",0.21,0.4,0.36,83446
"regiao","sul","8a","Feminino","Rural",0.08,0.36,0.4,9643
"regiao","sul","8a","Feminino","Urbana",0.13,0.45,0.48,30194
"regiao","centro_oeste","8a","Masculino","Rural",0.18,0.33,0.28,897
"regiao","centro_oeste","8a","Masculino","Urbana",0.17,0.36,0.32,5869
"regiao","nordeste","8a","Masculino","Rural",-0.14,0,0.07,14910
"regiao","nordeste","8a","Masculino","Urbana",-0.02,0.18,0.22,19161
"regiao","norte","8a","Masculino","Rural",-0.56,-0.35,-0.03,3554
"regiao","norte","8a","Masculino","Urbana",-0.26,-0.07,0.07,7385
"regiao","sudeste","8a","Masculino","Rural",0.05,0.18,0.18,8386
"regiao","sudeste","8a","Masculino","Urbana",0.2,0.41,0.37,28788
"regiao","sul","8a","Masculino","Rural",0.02,0.35,0.45,5858
"regiao","sul","8a","Masculino","Urbana",0.09,0.47,0.56,16906
"regiao","centro_oeste","9a","Feminino","Rural",0.03,0.26,0.3,3862
"regiao","centro_oeste","9a","Feminino","Urbana",0.15,0.32,0.29,19579
"regiao","nordeste","9a","Feminino","Rural",-0.13,0.04,0.11,82161
"regiao","nordeste","9a","Feminino","Urbana",-0.02,0.18,0.22,97243
"regiao","norte","9a","Feminino","Rural",-0.58,-0.35,-0.06,22368
"regiao","norte","9a","Feminino","Urbana",-0.29,-0.09,0.07,37780
"regiao","sudeste","9a","Feminino","Rural",0.04,0.2,0.21,18642
"regiao","sudeste","9a","Feminino","Urbana",0.16,0.37,0.35,74883
"regiao","sul","9a","Feminino","Rural",0.02,0.35,0.42,8784
"regiao","sul","9a","Feminino","Urbana",0.07,0.42,0.48,26472
"regiao","centro_oeste","9a","Masculino","Rural",0.2,0.34,0.28,843
"regiao","centro_oeste","9a","Masculino","Urbana",0.16,0.37,0.36,4606
"regiao","nordeste","9a","Masculino","Rural",-0.19,0,0.11,12466
"regiao","nordeste","9a","Masculino","Urbana",-0.05,0.21,0.29,15040
"regiao","norte","9a","Masculino","Rural",-0.58,-0.31,0.03,3121
"regiao","norte","9a","Masculino","Urbana",-0.3,-0.05,0.12,6095
"regiao","sudeste","9a","Masculino","Rural",0.03,0.22,0.24,7187
