"tabela","categoria","idade_cat","sexo","med_altura","med_peso","med_imc","n_dist"
"estados","Rio de Janeiro","12 - 17m","Feminino",-0.43,0.26,0.73,18787
"estados","Rondonia","12 - 17m","Feminino",-0.41,0.24,0.68,3273
"estados","Roraima","12 - 17m","Feminino",-0.64,0.17,0.77,1516
"estados","Santa Catarina","12 - 17m","Feminino",-0.38,0.24,0.66,9131
"estados","Sao Paulo","12 - 17m","Feminino",-0.43,0.25,0.71,47918
"estados","Sergipe","12 - 17m","Feminino",-0.31,0.52,0.99,9465
"estados","Tocantins","12 - 17m","Feminino",-0.57,0.16,0.69,6557
"estados","Acre","12 - 17m","Masculino",-0.91,0.06,0.83,3277
"estados","Alagoas","12 - 17m","Masculino",-0.71,0.29,0.98,13346
"estados","Amapa","12 - 17m","Masculino",-1.19,0.01,0.99,1244
"estados","Amazonas","12 - 17m","Masculino",-1.05,-0.04,0.8,13973
"estados","Bahia","12 - 17m","Masculino",-0.54,0.15,0.66,60703
"estados","Ceara","12 - 17m","Masculino",-0.65,0.38,1.05,39836
"estados","Distrito Federal","12 - 17m","Masculino",-0.64,-0.04,0.47,1828
"estados","Espirito Santo","12 - 17m","Masculino",-0.35,0.32,0.73,9426
"estados","Goias","12 - 17m","Masculino",-0.61,0.08,0.61,11861
"estados","Maranhao","12 - 17m","Masculino",-0.99,-0.01,0.8,30335
"estados","Mato Grosso","12 - 17m","Masculino",-0.6,0.05,0.57,6828
"estados","Mato Grosso do Sul","12 - 17m","Masculino",-0.65,0.08,0.65,7348
"estados","Minas Gerais","12 - 17m","Masculino",-0.48,0.15,0.61,62111
"estados","Para","12 - 17m","Masculino",-1.03,0,0.84,27269
"estados","Paraiba","12 - 17m","Masculino",-0.48,0.39,0.92,24927
"estados","Parana","12 - 17m","Masculino",-0.46,0.27,0.73,42331
"estados","Pernambuco","12 - 17m","Masculino",-0.56,0.32,0.9,29982
"estados","Piaui","12 - 17m","Masculino",-0.65,0.14,0.73,15037
"estados","Rio Grande do Norte","12 - 17m","Masculino",-0.57,0.36,0.96,11531
"estados","Rio Grande do Sul","12 - 17m","Masculino",-0.57,0.31,0.89,18627
"estados","Rio de Janeiro","12 - 17m","Masculino",-0.67,0.16,0.77,18126
"estados","Rondonia","12 - 17m","Masculino",-0.53,0.17,0.66,3179
"estados","Roraima","12 - 17m","Masculino",-0.91,-0.06,0.66,1361
"estados","Santa Catarina","12 - 17m","Masculino",-0.57,0.16,0.69,9023
"estados","Sao Paulo","12 - 17m","Masculino",-0.6,0.17,0.72,46338
"estados","Sergipe","12 - 17m","Masculino",-0.52,0.38,0.94,8921
